,Type,Start,End,Duration,Day of Week,Budget,Currency,Clicks,Impressions,Spent,CTR,CPC,CPI,Target Age,Target Gender,username,email,name,gender,age
0,AKX,2024-05-05,2025-01-30,270,Sunday,965482,EUR,47633,499998,801270,0.09526638106552426,16.82174122981966,1.6025464101856408,25-30,M,uwalker,fmarquez@example.net,Tanya Gray,F,43
1,KTR,2024-04-25,2026-03-18,692,Thursday,480386,GBP,79887,499999,363936,0.1597743195486391,4.555634834203312,0.7278734557469115,30-50,M,uwalker,fmarquez@example.net,Tanya Gray,F,43
2,AKX,2022-12-25,2024-02-19,421,Sunday,161578,USD,65196,500000,118809,0.130392,1.8223357261181667,0.237618,20-35,F,uwalker,fmarquez@example.net,Tanya Gray,F,43
3,AKX,2022-12-22,2024-11-11,690,Thursday,23646,EUR,45014,499997,13083,0.09002854017124103,0.2906429110943262,0.026166156996941983,20-30,B,tyrone78,michael54@example.net,Michael Dodson,M,56
4,AKX,2023-05-25,2024-08-19,452,Thursday,938501,USD,61271,499998,603915,0.12254249016996067,9.856457377878606,1.2078348313393255,45-50,B,tyrone78,michael54@example.net,Michael Dodson,M,56
5,AKX,2023-08-19,2025-04-22,612,Saturday,132994,EUR,11115,499997,47549,0.022230133380800286,4.277912730544309,0.09509857059142354,20-30,M,vstuart,sandra87@example.com,Melissa Frank,F,86
6,AKX,2024-05-11,2024-08-14,95,Saturday,185358,USD,30086,500001,21025,0.060171879656240684,0.6988300206075916,0.0420499159001682,45-70,F,vstuart,sandra87@example.com,Melissa Frank,F,86
7,KTR,2023-12-15,2024-10-26,316,Friday,16193,GBP,28465,500001,8367,0.05692988614022772,0.29393992622518883,0.016733966532066935,35-45,B,vstuart,sandra87@example.com,Melissa Frank,F,86
8,GRZ,2023-03-08,2024-07-23,503,Wednesday,723541,GBP,26086,499998,615353,0.05217220868883476,23.58939661120908,1.2307109228436914,20-35,F,stephen55,morenoryan@example.com,Victor Tyler,M,37
9,AKX,2023-08-07,2024-10-21,441,Monday,673324,GBP,27514,500003,31377,0.055027669833981,1.1404012502725884,0.06275362347825914,30-50,F,stephen55,morenoryan@example.com,Victor Tyler,M,37
10,KTR,2023-02-05,2025-02-02,728,Sunday,363127,USD,44508,500000,191468,0.089016,4.301878314010964,0.382936,25-35,F,stephen55,morenoryan@example.com,Victor Tyler,M,37
11,BYU,2023-01-26,2023-09-07,224,Thursday,197654,GBP,38389,499998,16592,0.07677830711322846,0.4322071426710776,0.033184132736530945,45-60,B,stephen55,morenoryan@example.com,Victor Tyler,M,37
12,BYU,2024-05-10,2025-08-27,474,Friday,764304,USD,44561,499998,409481,0.08912235648942596,9.189223760687597,0.8189652758611035,40-45,M,stephen55,morenoryan@example.com,Victor Tyler,M,37
13,GRZ,2023-02-26,2024-12-13,656,Sunday,588601,GBP,78628,499997,152046,0.15725694354166125,1.9337386172864628,0.30409382456294737,45-55,M,stephen55,morenoryan@example.com,Victor Tyler,M,37
14,AKX,2024-07-24,2026-01-02,527,Wednesday,737458,GBP,50205,500003,28702,0.10040939754361473,0.5716960462105368,0.05740365557806653,45-70,M,stephen55,morenoryan@example.com,Victor Tyler,M,37
15,KTR,2023-09-10,2025-06-11,640,Sunday,726498,USD,60210,500001,567757,0.12041975916048168,9.429613021092841,1.135511728976542,25-50,M,stephen55,morenoryan@example.com,Victor Tyler,M,37
